,BU.SHF,BZ.DCE,EB.DCE,EG.DCE,FG.ZCE,FU.SHF,L.DCE,LU.INE,MA.ZCE,PF.ZCE,PG.DCE,PL.ZCE,PP.DCE,PX.ZCE,RU.SHF,SA.ZCE,SC.INE,SH.ZCE,SP.SHF,TA.ZCE,V.DCE
20180517,-1.8883122313363812,0.0,0.0,0.0,1.4937100634532117,0.0,1.7059221667197153,0.0,12.082804056037077,0.0,0.0,0.0,6.708582424694643,0.0,6.274671158946344,0.0,-0.4124593942028842,0.0,0.0,15.497999596859751,3.9435654321738443
20180518,-0.8931602453800372,0.0,0.0,0.0,1.8553450353149572,0.0,0.7499005515206613,0.0,12.758918423896564,0.0,0.0,0.0,6.687061969037831,0.0,6.742025581615325,0.0,-0.0006579218088201952,0.0,0.0,17.0213620726747,2.6894070599553435
20180521,0.7320887708114947,0.0,0.0,0.0,3.959976334177954,0.0,0.7649234354313574,0.0,13.49967688580612,0.0,0.0,0.0,7.073964416979968,0.0,8.271447440038033,0.0,0.2191670331090183,0.0,0.0,19.76311095631293,2.141096960674238
20180522,2.147125549889066,0.0,0.0,0.0,6.509209584151083,0.0,0.6996247308968743,0.0,14.372504636182429,0.0,0.0,0.0,7.972391311474166,0.0,9.883631622367895,0.0,0.5233247829776976,0.0,0.0,20.174062674756392,1.5442232412199453
20180523,2.7594651509177464,0.0,0.0,0.0,8.512161561433254,0.0,0.24631965719584903,0.0,14.906670890883484,0.0,0.0,0.0,8.404748966675731,0.0,10.40000425314797,0.0,0.8937441895447843,0.0,0.0,21.378967723419176,0.970360044815713
20180524,2.9853694792021357,0.0,0.0,0.0,9.612811145927152,0.0,-0.8201210356769464,0.0,15.25720800083153,0.0,0.0,0.0,8.509350788314386,0.0,10.551488515753942,0.0,0.9852230865673601,0.0,0.0,22.051584277148926,0.29038662792821396
20180525,3.0735238334588915,0.0,0.0,0.0,10.416630483476267,0.0,-2.17649036892348,0.0,14.808822708443586,0.0,0.0,0.0,7.625677496585909,0.0,10.722973553964168,0.0,0.8938443909959333,0.0,0.0,22.811136930955747,-0.19809936392353392
20180528,2.7474977332579207,0.0,0.0,0.0,11.86330906002555,0.0,-2.7160290924690207,0.0,14.162281017557259,0.0,0.0,0.0,7.278823766442928,0.0,10.95706252966306,0.0,0.6166836783607572,0.0,0.0,20.619272863766685,-0.8907168392679932
20180529,2.646127477651333,0.0,0.0,0.0,12.984326573590245,0.0,-2.3543211908703334,0.0,13.547829384316117,0.0,0.0,0.0,8.312312533407464,0.0,11.264687150895279,0.0,0.29346015029024447,0.0,0.0,18.79565993153858,-1.1420630157623168
20180530,2.8432131159120306,0.0,0.0,0.0,14.88992697607416,0.0,-1.718057698666153,0.0,12.446019711668056,0.0,0.0,0.0,10.573102351916766,0.0,11.347187682482359,0.0,0.18530219583381888,0.0,0.0,17.081012252853856,-0.935072555943392
20180531,3.4054916551073977,0.0,0.0,0.0,17.156078737365164,0.0,-1.2000300753294084,0.0,11.748465973116419,0.0,0.0,0.0,12.879834662788925,0.0,11.321844297520192,0.0,0.7422310928757369,0.0,0.0,16.01411698540333,-0.7345092231556236
20180601,4.093073208838604,0.0,0.0,0.0,18.935543008000188,0.0,-0.019944019310967568,0.0,12.000572380902016,0.0,0.0,0.0,15.183269796864659,0.0,11.259941705200921,0.0,1.2896314154701467,0.0,0.0,15.611612417183713,0.13974848978914547
20180604,4.807275840703495,0.0,0.0,0.0,20.19152131087838,0.0,0.7419347434820637,0.0,11.986131980946055,0.0,0.0,0.0,16.848302617266825,0.0,10.875563319466249,0.0,1.6518613383213225,0.0,0.0,15.035719674328238,0.9059790611309844
20180605,5.48242628778906,0.0,0.0,0.0,20.895147775459858,0.0,1.129653643082081,0.0,11.584340335966562,0.0,0.0,0.0,17.54002430281533,0.0,10.497051887498575,0.0,1.780977332810187,0.0,0.0,13.891798034446474,2.759781938829027
20180606,6.162714420102058,0.0,0.0,0.0,22.53172637139238,0.0,1.06139019733887,0.0,10.867790627564322,0.0,0.0,0.0,17.134152254453667,0.0,9.94944641771206,0.0,1.8361812616342936,0.0,0.0,11.92000014251964,4.273958910259903
