strategyFile,window,z_open,z_close,min_hold,max_hold,cooldown_days,signal_mode,zscore_method,sharpeRatio,maxDrawdown,maxDrawdownDays,holdingPeriod,pot
MovingAverageV3_4_M_20_ZO_1.6_ZC_0.8_MINH_3_H_20_CD_1_trend.csv,20,1.6,0.8,3,20,1,trend,price_ratio_over_vol,0.540888005050692,-44.81921359324622,875,7.779849989864182,8.716052096308257
MovingAverageV3_4_M_20_ZO_1.2_ZC_0.8_MINH_5_H_20_CD_3_trend.csv,20,1.2,0.8,5,20,3,trend,price_ratio_over_vol,0.5405946569280053,-44.31735499350309,875,8.414824500469905,8.009434306660252
MovingAverageV3_4_M_45_ZO_1.2_ZC_0.0_MINH_3_H_20_CD_5_trend.csv,45,1.2,0.0,3,20,5,trend,price_ratio_over_vol,0.5405484529180596,-40.10603280408736,875,13.768578376134275,12.341287301100127
MovingAverageV3_4_M_45_ZO_1.2_ZC_0.0_MINH_5_H_20_CD_5_trend.csv,45,1.2,0.0,5,20,5,trend,price_ratio_over_vol,0.5405484529180596,-40.10603280408736,875,13.768578376134275,12.341287301100127
MovingAverageV3_4_M_45_ZO_1.2_ZC_0.2_MINH_5_H_15_CD_3_trend.csv,45,1.2,0.2,5,15,3,trend,price_ratio_over_vol,0.54035397693542,-41.254483013133225,875,9.969109947643975,9.36530411560639
MovingAverageV3_4_M_35_ZO_1.2_ZC_0.4_MINH_5_H_20_CD_5_trend.csv,35,1.2,0.4,5,20,5,trend,price_ratio_over_vol,0.53960929601206,-38.58205664975097,875,10.766090890396876,10.15377784416871
MovingAverageV3_4_M_20_ZO_1.4_ZC_0.4_MINH_3_H_20_CD_3_trend.csv,20,1.4,0.4,3,20,3,trend,price_ratio_over_vol,0.5395487148813051,-42.74144902997264,875,9.43268793746023,8.845383072912524
MovingAverageV3_4_M_50_ZO_1.4_ZC_0.0_MINH_3_H_15_CD_5_trend.csv,50,1.4,0.0,3,15,5,trend,price_ratio_over_vol,0.5393864341308556,-44.61339487771828,876,10.963519649287617,10.201556541559718
MovingAverageV3_4_M_50_ZO_1.4_ZC_0.0_MINH_5_H_15_CD_5_trend.csv,50,1.4,0.0,5,15,5,trend,price_ratio_over_vol,0.5393864341308556,-44.61339487771828,876,10.963519649287617,10.201556541559718
MovingAverageV3_4_M_20_ZO_1.4_ZC_0.8_MINH_5_H_20_CD_3_trend.csv,20,1.4,0.8,5,20,3,trend,price_ratio_over_vol,0.5390269273560662,-43.2536145280569,875,8.55492530850833,8.43697050642226
MovingAverageV3_4_M_20_ZO_1.4_ZC_0.4_MINH_3_H_20_CD_1_trend.csv,20,1.4,0.4,3,20,1,trend,price_ratio_over_vol,0.5380803306266699,-43.87942491110596,875,9.362487933856555,8.7300868160065
MovingAverageV3_4_M_40_ZO_1.8_ZC_0.8_MINH_3_H_20_CD_5_trend.csv,40,1.8,0.8,3,20,5,trend,price_ratio_over_vol,0.5372821741605037,-40.83545157545345,875,9.71500725377465,11.221082898137313
MovingAverageV3_4_M_30_ZO_1.8_ZC_0.8_MINH_5_H_20_CD_5_trend.csv,30,1.8,0.8,5,20,5,trend,price_ratio_over_vol,0.5372558330179658,-43.3832445896758,961,9.68664495114006,10.779225053876907
MovingAverageV3_4_M_30_ZO_1.6_ZC_0.8_MINH_5_H_20_CD_5_trend.csv,30,1.6,0.8,5,20,5,trend,price_ratio_over_vol,0.5369435010175452,-44.50676565410028,875,9.557961255568213,10.194747449129197
MovingAverageV3_4_M_20_ZO_1.2_ZC_0.4_MINH_3_H_20_CD_3_trend.csv,20,1.2,0.4,3,20,3,trend,price_ratio_over_vol,0.536795998245108,-41.93318255910667,875,9.270688688602354,8.328281618354913
