,Simple_PnL,Position_Factor,Compound_PnL_Rate,Compound_Net_Value,Drawdown,Max_Drawdown
20220608,0.1680017312875721,1.0,0.0021000216410946514,1.9657998331567272,0.0258842309988514,0.09102342593912305
20220609,-0.5744764651985351,1.0,-0.007180955814981689,1.9516835114137303,0.0328793132947256,0.09102342593912305
20220610,1.2517665136873175,0.8,0.012517665136873175,1.9761140320627644,0.020773220391606007,0.09102342593912305
20220613,-1.150311381774202,1.0,-0.014378892272177524,1.9476997012781956,0.034853416765626366,0.09102342593912305
20220614,0.991558276297508,0.8,0.00991558276297508,1.9670122788636415,0.025283425941163284,0.09102342593912305
20220615,-1.547266867357291,1.0,-0.019340835841966136,1.9289686172790081,0.04413525919247885,0.09102342593912305
20220616,-1.2335135318645527,0.8,-0.012335135318645527,1.905174528359451,0.05592598011666172,0.09102342593912305
20220617,-0.1386738592195202,0.5,-0.0008667116201220012,1.9035232914573614,0.05674422003994983,0.09102342593912305
20220620,-1.53093701621014,0.5,-0.009568356351313374,1.8853097022816725,0.0657696274730436,0.09102342593912305
20220621,-0.1033189884097871,0.5,-0.0006457436775611693,1.8840922754611793,0.06637290082948855,0.09102342593912305
20220622,-0.9024528081030264,0.5,-0.005640330050643915,1.8734653731817095,0.07163886581303558,0.09102342593912305
20220623,-0.5106004938898318,0.5,-0.0031912530868114485,1.867486671026509,0.07460150114818542,0.09102342593912305
20220624,1.741532681808242,0.5,0.010884579261301512,1.887813477716721,0.06452892783914355,0.09102342593912305
20220627,0.4195941194493257,0.5,0.0026224632465582853,1.8927641991783906,0.06207568933418317,0.09102342593912305
20220628,-0.2666815344612461,0.5,-0.001666759590382788,1.889609416297077,0.06363898367403853,0.09102342593912305
20220629,0.8115304802488625,0.5,0.005072065501555392,1.8991936390288917,0.05888969926613019,0.09102342593912305
20220630,0.5221920900445901,0.5,0.003263700562778688,1.905392038377416,0.05581819704798818,0.09102342593912305
20220701,1.143295810812481,0.5,0.0071455988175780066,1.9190072054738683,0.04907145267323565,0.09102342593912305
20220704,0.2689014829499264,0.8,0.0026890148294992644,1.9241674443073036,0.04651439170767968,0.09102342593912305
20220705,0.9212684280375998,0.8,0.009212684280375997,1.9418941914742847,0.037730229832600326,0.09102342593912305
20220706,0.3743869712844553,0.8,0.003743869712844553,1.9491643903232938,0.03412761718448476,0.09102342593912305
20220707,-0.7194620031379259,0.8,-0.007194620031379258,1.9351408931562226,0.04107670197764535,0.09102342593912305
20220708,-0.0545379585722978,0.8,-0.000545379585722978,1.9340855068175975,0.04159967916866092,0.09102342593912305
20220711,1.4028653043895971,0.8,0.01402865304389597,1.9612181213499693,0.028154613590559485,0.09102342593912305
20220712,1.852772896642071,1.0,0.023159661208025886,2.0066392685954755,0.00564700369473381,0.09102342593912305
