,A.DCE,AP.ZCE,B.DCE,C.DCE,CF.ZCE,CS.DCE,JD.DCE,LH.DCE,M.DCE,OI.ZCE,P.DCE,RM.ZCE,SR.ZCE,UR.ZCE,Y.DCE
20200618,3.6512259545926606,14.312317683182082,-13.796448372233543,32.94405967029028,17.756969850477716,28.655706284138315,-10.588415132431225,0.0,3.210864826959222,18.762768405455564,9.887717527734125,-13.310042127384023,-13.644420606324033,-20.996918355723828,14.904550687136975
20200619,4.810855500838349,14.71406523662769,-11.234503602174238,33.50050460767833,18.33880173108503,29.739418099747777,-10.289144284923506,0.0,6.591844813542642,19.265592290265268,10.35473768387283,-14.282435837885211,-14.03338785732611,-21.585330468305337,15.17667050370847
20200622,5.742201346511024,9.055204729318827,-9.137495729276301,33.10763700252389,18.47380836941937,30.038789649327704,-10.100391032209783,0.0,9.587710498771358,19.535330247685543,10.840824177369633,-15.100692275592877,-14.434508169430194,-22.217448841312,15.447318380763813
20200623,6.445796968836379,4.456093978012128,-10.377897949279092,32.63139404240379,15.051387744442799,24.47286052543039,-9.898197472766611,0.0,11.98535697717826,19.882302288528525,11.168405559396085,-15.73222303557725,-14.754751923655718,-22.860840486170847,15.621909846809261
20200624,7.128793400533232,0.6843744375416255,-5.486795227888653,32.34119085288596,15.7518743282468,19.92101445307858,-9.742732255175335,0.0,14.155050140378846,20.237771651685716,11.48573872536174,-16.302341705123023,-12.01722129650512,-23.432268506389022,15.778087826830022
20200629,7.586878565366677,-2.438650642315979,-4.541726193975212,31.32756086454617,16.344693094703192,16.21820913736074,-9.621221816488971,0.0,16.072299746946886,21.811780508931196,11.324867263106993,-16.70872793098551,-9.783708298447904,-23.410258053507143,15.374673410375587
20200630,7.960554022710483,-4.992825209102123,-0.8831153775539005,25.549428747079645,16.89888286250545,13.191462192234829,-9.528728502156065,0.0,17.658694949671062,23.040622525372775,11.167734254405314,-17.035178692269785,-7.9524888850919755,-19.080858038135755,15.152420498692694
20200701,8.25995849331732,-7.070187023823471,1.7873094838025179,25.392036023065536,17.70779862479152,10.714553669778589,-9.429529448335927,0.0,18.021676762467628,24.056591552021683,11.040874732583111,-13.881335861164986,-6.453855034775009,-19.574225656588496,14.968697746114316
20200702,8.508912827872882,-8.654841740738147,3.913621473983058,25.267234560779702,18.2759311792833,12.99534382089496,-9.434424908722313,0.0,18.309292256555015,24.997187554006544,10.939771947677713,-8.309083630352507,-5.22760856671476,-19.945178945243825,14.754643517974309
20200703,8.694369709643812,-9.986067926503543,5.6646972827938695,25.164444400401816,18.726961916407646,14.864087815376507,-9.436678025723014,0.0,18.555957739057362,25.898289793809433,10.901717770904302,-3.744063414140847,-1.0641633858279949,-16.243156387327254,14.584590542444108
